Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
1.291477824,0.04707244,0.030330271,0.05896759,0.081319842
1.296333709,0.019674182,0.077077359,0.022780418,0.08274624
1.30119048,0.018619359,0.081221551,-0.022590637,0.086336306
1.30604798,-0.023136556,0.057191074,0.039275169,0.073134521
1.310904647,-0.062985182,0.057221681,-0.01091671,0.085794105
1.315760584,0.018229246,0.052850261,-0.010810852,0.056941462
1.320617303,0.001018077,0.027203485,0.070036888,0.075141412
1.325474855,-0.033426315,0.013349965,0.019665718,0.041015613
1.330331678,0.062993616,0.00904718,0.002951622,0.063708392
1.335188449,0.078587294,0.01184155,0.078931808,0.112010783
1.340101522,-0.003059179,0.021446064,-0.004803658,0.022189353
1.344959022,0.030404031,0.021416262,-0.045131683,0.05848017
1.349800011,0.069206208,0.014260858,0.012173653,0.071701249
1.354655741,0.017646283,0.002128884,-0.028352737,0.03346343
1.359513293,0.049785614,-0.010079697,-0.080423355,0.095121626
1.364371834,0.072625071,0.001490876,0.012739182,0.073748969
1.36922798,-0.02627334,0.017425165,-0.020687103,0.037707837
1.37408298,-0.075597316,0.016549632,-0.077521324,0.109537209
1.378939907,-0.041880071,0.034852013,0.02046299,0.058200834
1.383796938,-0.094495684,0.053118393,0.008450508,0.108730902
1.388654074,-0.102203935,0.052475244,-0.036663055,0.120596332
1.393509855,0.001912147,0.040199712,0.080034256,0.089583231
1.398381366,0.036832303,0.052001819,0.103146553,0.121243635
1.403223761,0.033769459,0.030523941,0.026338577,0.052590949
1.408039386,0.11249432,0.018774807,0.111561775,0.159541515
1.412895116,0.080090642,0.028610617,0.103430748,0.133906676
1.417751834,-0.016086221,0.028926328,-0.028091431,0.043412296
1.422609334,-0.057088196,0.0031268,-0.001811981,0.057202468
1.427466053,-0.074356943,0.034521803,-0.025589943,0.085881052
1.432321991,-0.120728225,0.018116772,-0.117984772,0.169776111
1.437178813,-0.108115911,-0.017374903,-0.05525589,0.1226546
1.442036313,-0.041352063,0.004178479,-0.028650284,0.050480606
1.44689298,-0.032531857,-0.000738159,-0.071099281,0.078191908
1.45174897,-0.007224113,-0.036769003,0.010260582,0.038851344
1.456605636,0.037390053,-0.013262466,0.043430328,0.058822636
1.461463241,0.003868192,0.007673889,-0.028166771,0.029448573
1.466319907,-0.028907329,7.19726E-06,0.04563427,0.054019629
1.471175845,-0.025388777,0.030510217,0.073694229,0.08370366
1.476032668,-0.033419549,0.053814188,-0.002957344,0.06341592
1.480890063,-0.041382313,0.010567158,0.034992218,0.055214273
1.485746782,-0.023163259,0.005666882,0.079748154,0.08323712
1.490602772,-0.01714161,0.017601237,-0.001688957,0.024627036
1.495459491,-0.049739093,-0.013240218,0.014923096,0.053590853
1.500317043,-0.075525254,-0.005721688,0.040922165,0.086089635
1.505173709,-0.070697874,0.013724223,-0.051978111,0.08881592
1.510029699,-0.063711226,2.99513E-06,-0.032505989,0.071524539
1.514928345,-0.059278965,0.003026411,0.02241993,0.063449256
1.519785428,-0.019030184,0.025015131,-0.039453506,0.050442877
1.524642043,0.021407694,-0.022088051,0.003622055,0.030972417
1.529498813,0.035917372,-0.031103641,0.062929153,0.078851585
1.534313345,0.048447222,-0.016539067,-0.015986443,0.053630592
1.539212303,0.051864088,-0.021261573,0.000693321,0.056057281
1.544069178,-0.027738631,-0.028492734,0.040968895,0.057093939
1.548935584,-0.064347982,-0.009604245,-0.073391914,0.098077915
1.553781626,-0.075064808,-0.014613226,-0.056196213,0.094901455
1.558639438,-0.083608091,-0.012517154,0.020222664,0.086924957
1.563495688,-0.066488177,0.015621647,-0.039297104,0.078797055
1.568351782,-0.011757612,-0.006272823,0.001404762,0.013400116
1.573208501,0.030762583,-0.011307627,0.103491783,0.10855758
1.578067563,0.030193627,-0.011435717,0.024292946,0.040405172
1.582922772,0.060783982,-0.016080588,0.005097389,0.063081385
1.587737668,0.067897975,-0.006210789,0.083382607,0.107709647
1.59259397,-0.005704701,0.015685409,-0.007548332,0.018318106
1.597451574,-0.009843558,0.011458501,-0.009875298,0.018047559
1.602308241,0.009909987,0.016821519,0.066158295,0.068978919
1.607164178,0.0080733,0.007894859,0.013358116,0.017491319
1.612020897,0.008452296,-0.029560834,-0.027125359,0.041000845
1.616878397,0.056426734,-0.031328097,0.058548927,0.087140133
1.62173522,0.039723635,-0.033258274,-0.032172203,0.060984675
1.626591105,0.008622438,-0.047162428,-0.084139824,0.096840854
1.631447824,0.020514101,-0.025574401,-0.012221336,0.034989132
1.636305324,0.025125921,-0.006598726,-0.05723381,0.062853513
1.641162147,-0.013267517,-0.016326398,-0.082868576,0.085497247
1.646018032,0.008071065,-0.016651139,0.022283554,0.028964794
1.650874699,0.038902193,-0.024156749,0.026836395,0.053076561
1.655732251,0.043359786,-0.019731924,-0.030376434,0.056499094
1.66058897,0.093180537,-0.031904638,0.074316025,0.123383102
1.665444907,0.085838467,-0.012998149,0.061793327,0.106562703
1.670302772,0.054815501,0.006039321,-0.014720917,0.057078174
1.67515923,0.038237482,0.003725663,0.049481392,0.062644982
1.680015897,0.017049402,0.030154213,0.049051285,0.060049873
1.684871834,-0.020756066,0.011486799,-0.013091087,0.02709497
1.689728553,0.007996559,-0.009457439,0.055873871,0.057230041
1.694586418,0.029268622,-0.011181027,0.043546677,0.053646814
1.699499282,0.062174916,-0.029443815,-0.039895058,0.079525305
1.704340532,0.051898241,-0.04061836,0.019809723,0.068816449
1.709196834,0.060699672,-0.020951018,-0.018322945,0.066776684
1.714054438,0.031498551,-0.037062481,-0.094129562,0.105953578
1.718910741,0.026223034,-0.015231088,-0.03635025,0.047338929
1.723766991,0.004430801,-0.019988626,-0.017045975,0.026640992
1.728624647,0.001871526,-0.017700702,-0.050139427,0.053205071
1.73344022,0.035178244,-0.027589276,0.009618759,0.045729614
1.738337772,0.047076643,-0.039955109,0.056994438,0.084029679
1.74319423,0.066227734,-0.011795819,-0.012369156,0.068397735
1.748051522,0.056904495,-0.017051116,0.028049469,0.065693491
1.752918866,0.028549463,0.001591653,0.046772957,0.05482075
1.757765168,0.007374167,0.017875999,-0.024867058,0.031500798
1.762621053,-0.016230136,0.020014971,0.006193161,0.026502295
1.767486991,-0.051973224,0.022316724,0.051262856,0.076335657
1.77229522,-0.052265704,0.020077914,-0.001355171,0.056005918
1.777151261,-0.014750451,-0.00089632,0.029573441,0.03306006
1.782006366,0.005890548,-0.012143821,0.048370361,0.050218152
1.786864178,0.033597082,-0.013745174,-0.006591797,0.036893705
1.791720636,0.066404104,-0.012900963,0.000605583,0.067648405
1.796577303,0.047114402,0.002064556,0.014843941,0.049440589
1.801433293,0.025845379,0.004920751,-0.056519508,0.062343021
1.806290011,0.014424115,-0.001921028,-0.029959679,0.033306573
1.811147511,-0.048957318,-0.025671721,0.01061058,0.056288903
1.816004855,-0.066992164,-0.040016532,-0.048862457,0.092069607
1.82086022,-0.044749558,-0.033049151,-0.010492325,0.056611467
1.825716886,-0.03966099,-0.031121373,-0.000919342,0.050422011
1.830574438,-0.032707006,-0.007900715,-0.036513329,0.049652721
1.835431157,-0.006992489,0.003430665,-0.017192841,0.018874801
1.840287147,-0.007606775,0.021792933,0.016209602,0.028205428
1.845143813,-0.039138228,0.037802771,-0.00526619,0.054667935
1.850001366,-0.027555823,0.015925929,0.009049416,0.033088526
1.854858084,-0.032280862,0.023012593,0.084957123,0.093751513
1.859714022,-0.027235836,0.020779476,0.053390503,0.063435977
1.864570741,0.008982718,0.01880379,0.029195786,0.035870122
1.869428293,0.016701311,0.016961262,0.059794426,0.064358306
1.874286157,0.012601465,0.015192509,0.007040977,0.020956732
1.879182876,-0.010627359,0.022999793,-0.033394814,0.041918311
1.884040063,-0.026661783,0.002070814,-0.00938797,0.02834207
1.88889798,-0.076324403,-0.002295107,-0.035416603,0.084172548
1.893753918,-0.09048444,-0.009229288,-0.037467003,0.098368643
1.898609074,-0.08588177,-0.00452359,0.003245354,0.086062033
1.903466001,-0.071995109,-0.002461702,-0.020478249,0.074891351
1.908323761,-0.010683089,-0.007656053,-0.041632652,0.043658004
1.913180168,0.014914095,0.015566275,0.015712738,0.026676381
1.918036105,0.043313146,0.038536817,0.020317078,0.061432064
1.922893761,0.041019678,0.023387685,-0.020244598,0.051375496
1.927750845,0.013096005,0.036971152,0.027356148,0.047819768
1.932607251,-0.007295907,0.029196307,0.01757431,0.034849835
1.937463657,-0.039563447,0.016971007,0.007886887,0.043766247
1.94232048,-0.05998081,0.024021089,0.038656235,0.07529286
1.947177251,-0.066449404,0.03825143,0.012214661,0.077639507
1.951992511,-0.030650944,0.040721998,-0.00210762,0.051011798
1.956848553,-0.012064368,0.043292135,0.012195587,0.046567051
1.961705324,0.00619337,0.038721219,-0.009225845,0.040284077
1.966562824,0.036225915,0.031867161,-0.013851166,0.050196491
1.971419595,0.004514635,0.013143912,0.040904999,0.043201427
1.976275584,-0.005390137,0.018201515,0.014472961,0.023870805
1.981132199,0.01119563,-0.00544484,-0.002259254,0.012652772
1.985989751,0.030366182,-0.002956137,0.019115448,0.036003391
1.99084647,0.025869638,0.027829513,-0.014307022,0.040600626
1.995702459,0.028707713,0.020197377,-0.037965775,0.051705578
2.00055923,0.055379301,0.026870891,-0.013950348,0.063115165
2.005416626,0.02473259,0.033430457,-0.032864571,0.053003551
2.010273345,0.012983561,0.011384591,-0.030239105,0.034822195
2.015129282,-0.013203889,0.008515641,0.000867844,0.015735691
2.019986105,-0.034890145,0.012854084,0.01512146,0.040139859
2.024843605,-0.035436541,0.021962896,-0.013459206,0.043809445
2.029700272,0.01845327,0.040611848,0.038929939,0.059206297
2.034556261,0.022210836,0.052096754,0.031521797,0.064815251
2.039412928,0.06183967,0.044664949,0.007546425,0.076655404
2.04427048,0.108725995,0.039783075,0.059721947,0.130271816
2.049127199,0.103398532,0.039806753,0.061589241,0.12676383
2.053983657,0.079354435,0.016085938,0.027817726,0.085613724
2.058881313,0.055573314,-0.002688676,0.025186539,0.061073595
2.063739491,0.012992203,0.021308348,-0.003538132,0.025206376
2.068554543,-0.003528535,0.011807457,-0.048624992,0.050162301
2.07345147,-0.001208752,0.002388656,-0.033967972,0.034073301
2.078319803,0.019851595,0.016730383,-0.040790558,0.048351434
2.083165688,0.033383757,0.011845335,-0.064166069,0.073294417
2.088022303,0.082354039,0.009311303,-0.032739639,0.08911101
2.092878501,0.085982352,0.023300856,-0.006333351,0.089308489
2.097735272,0.058598876,0.006190509,-0.020503998,0.062390421
2.102608553,0.059989035,-0.008465409,0.010549545,0.061495044
2.107449543,0.061660528,0.014870584,0.02708149,0.068967834
2.112305428,0.056428999,0.021510959,0.007856369,0.060898898
2.117161991,0.079847425,0.035218358,0.031518936,0.092786785
2.122019334,0.09137395,0.039428696,0.050228119,0.111475041
2.126876313,0.093366146,0.046152964,0.011804581,0.104817372
2.131691886,0.092964351,0.040951043,0.047297478,0.112055388
2.136547511,0.104498118,0.02647014,0.03263855,0.112631256
2.141405011,0.077715367,0.026352003,-0.008002281,0.082450851
2.146261782,0.048432827,0.019173518,-0.012673378,0.053609486
2.15111772,0.066702366,0.035796329,-0.00067997,0.075703667
2.155974491,0.056156784,0.030977279,-0.041007042,0.07612328
2.160831991,0.109683514,0.030885562,-0.038259506,0.120200586
2.165688657,0.110825479,0.030739158,0.014307976,0.115896078
2.170544595,0.21201992,0.023407504,-0.00243187,0.213321991
2.175401418,0.141841561,-0.007718235,0.016558647,0.143013245
2.180259022,0.229233265,0.008781761,0.030627251,0.231436898
2.185115636,0.13581109,-0.020081148,0.016067505,0.138224707
2.189971522,0.166797966,0.003586084,0.006371498,0.166958131
2.194828241,0.109685093,0.01038444,0.006251335,0.110352777
2.199685897,0.147839457,0.021874398,-0.019974709,0.150777927
2.204542511,0.126146972,0.007153079,-0.007987976,0.126601868
2.209398501,0.163931489,0.006860524,0.025270462,0.166009627
2.214255168,0.179975629,0.018557727,0.020270348,0.182061812
2.21911272,0.174518973,0.001784295,0.029559135,0.177013553
2.223969438,0.185726643,0.004143804,0.048265457,0.191940385
2.228825376,0.132738829,0.006541997,0.028832436,0.135991557
2.233682772,0.153909028,0.020852163,-0.002316475,0.155332442
2.238581157,0.146715581,0.02555044,0.016636848,0.149850164
2.243437772,0.154108167,0.030266806,0.006930351,0.157205077
2.248293761,0.166537106,0.008886561,-0.026453972,0.168859087
2.253166574,0.202902764,0.004128799,0.011647224,0.203278716
2.258007668,0.203629911,0.011048496,0.004304886,0.203974856
2.262864959,0.180733353,-0.006067723,-0.050469398,0.187745898
2.267679647,0.17694065,-0.004275769,0.006799698,0.177122872
2.272577043,0.123130441,0.025924221,-0.031366348,0.129680447
2.277435376,0.140449941,0.027271658,-0.059692383,0.155026159
2.282291938,0.162256956,0.040423527,6.48499E-05,0.167216583
